words	cates	weights	nums
工作	vn	8477	2486.81
进行	vx	5504	3199.81
中国	ns	5647	2112.92
2018年	t	3227	2628.25
服务	v	4436	1773.33
发展	vn	5073	1991.03
王磊	nr	360	323.06
孩子	n	4471	1672.9
一个	mq	5719	1806.06
2019年	t	1694	1863.95
通过	v	626	284.93
企业	n	3868	1833.61
女性	n	711	445.91
可以	v	3458	1617.55
开展	v	2598	1541.4
北京	ns	2909	854.58
发现	v	3553	1482.15
生活	vn	2903	1240.73
全国	n	2809	1156.07
时间	n	3423	1420.31
社会	n	3628	1545.9
提供	v	2312	1299.73
建设	v	3305	1498.7
李海涛	nr	57	60.55
公司	n	3684	1485.39
相关	vn	3295	1431.87
什幺	n_new	1641	1378.23
成为	v	2292	1226.32
校外培训机构	n_new	62	180.36
管理	vn	3492	1434.9
作为	v	1158	647.78
国家	n	3121	1442.08
职工	n	575	334.3
学校	n	3378	1416.26
需要	v	2804	1456.76
社区	n	1068	623.28
教育	vn	3013	1382.97
开始	v	2291	1330.9
实施	v	1860	1095.59
行为	n	2512	903.52
城市	n	2277	1146.41
旅游	vn	1738	905.53
经济	n	1882	946.79
组织	n	2111	1216.38
实现	v	1954	1056.08
技术	n	2310	1186.1
地区	n	2641	1079
出现	v	1757	990.32
环境	n	2958	1159.48
要求	n	2392	1220.19
问题	n	4755	1354.17
人员	n	4813	1443.42
活动	vn	2583	981.59
记者	n	7936	1218.88
可能	v	1825	972.97
案件	n	2048	1010.86
北京榜样	n_new	64	43.62
环卫工人	n_new	36	71.92
市场	n	2485	1063.89
进入	v	1193	895.81
存在	v	1561	959.86
代表	n	1106	621.59
家长	n	1596	854.93
家庭	n	1383	792.96
世界	n	1451	799.46
中心	n	2271	1083.66
发生	vn	2236	935.42
情况	n	3331	1080.68
信息	n	2581	1137.67
关注	vn	1198	635.55
犯罪嫌疑人	n_new	681	676.23
部门	n	2907	1030.48
国际	n	1510	838.11
视频	n	1212	688.69
方面	n	1828	849.45
解决	v	1335	810.51
研究	vn	1813	972.13
医院	n	2908	1208.34
持续	vd	1042	705.21
司法救助	n_new	39	37.38
法院	n	1355	678.1
精神	n	1106	613.69
超过	v	1055	749.61
执行	v	911	575.53
资源	n	1337	724.68
文化	n	2682	1166.18
我国	n	1212	587.3
达到	v	1121	755.37
发布	v	1800	803.05
游客	n	1008	664.42
旅客	n	910	566.75
推进	vi	1228	744.23
刘格格	n_new	40	35.37
方式	n	1894	847.24
参与	v	1247	838.68
检查	vn	1396	730.97
保障	vn	1422	803.04
行业	n	1259	767.61
项目	n	2720	1307.76
产业	n	1565	856.76
单位	n	1499	875.66
创新	vi	1237	725.7
委员	n	689	313.39
工会	n	121	92.76
参加	v	1090	770.41
法律	n	1390	752.86
重点	n	1334	733.01
群众	n	1695	935.05
老人	n	1949	944.29
妈妈	n	744	493.33
政策	n	1499	817.15
平台	n	2048	981.04
条件	n	1166	602.05
网络	n	1936	945.83
磁器口	n_new	10	32.51
抚仙湖	n_new	10	32.51
家政公司	n_new	43	68.78
政协委员	n_new	60	95.11
志愿服务	n_new	229	273.25
选择	vn	1325	861.93
继续	v	1189	743.81
公安机关	n_new	561	684.16
接受	v	1106	724.58
学生	n	3100	1481.31
能够	v	942	699.51
看到	v	1467	829.98
基层	n	780	515.75
资金	n	984	643.86
认为	v	1892	687.78
建议	n	1269	672.29
保护	v	2171	1065.65
妇女	n	382	283.51
客户	n	573	390.38
犯罪	vn	2289	668.08
治理	vn	912	572.51
推动	v	1074	611.17
使用	v	1666	990.98
粤港澳	n_new	167	206.18
影响	vn	1893	859.47
警方	n	1310	645.41
居民	n	1019	665.05
瞿大爷	n_new	24	29.29
部分	n	1869	458.91
历史	n	962	580.57
销售	vn	1084	625.1
制度	n	1531	671.89
得到	v	959	657.79
履职	n_new	137	263.86
紫牛新闻记者	n_new	43	75.94
中新网	ntot	1874	628.39
父母	n	1109	674.69
就是	v	1073	435.68
农民工	n	200	174.83
决定	v	928	572.67
提出	v	1353	704.8
来到	v	650	523.85
培训	vn	1206	596.09
政府	n	1638	887.15
区域	n	1014	656.99
机构	n	1922	807.31
生产	vn	1581	832.59
就业	vn	847	532.88
采取	v	691	509.75
受害人	n	210	216.11
综合	vn	822	576.72
无法	v	915	684.44
兰花	n	83	74.56
生态	n	2307	842.85
改革	vn	1470	717.28
提升	v	1269	753.63
天气	n	842	467.16
提高	v	1259	762.24
行动	vn	1230	619.05
引领	n_new	162	335.61
人民	n	1629	626.48
群体	n	381	307.93
用人单位	n_new	111	210.95
没有	d	4308	1338.5
涉民生案件	n_new	9	26.81
郑亮	nr	24	26.8
规定	n	2031	693.3
比较	vn	895	334.97
建立	v	1390	799.97
具有	v	816	634.23
合作	vn	980	592.31
专家	n	1265	779.94
完成	v	1364	847.23
利用	v	1218	781.24
车辆	n	1168	758.38
购买	v	848	578.42
帮助	v	1149	681.29
劳动	vn	515	307.74
联系	v	1043	582.89
集中	v	855	355.71
民警	n	1806	765.03
马大爷	n_new	16	25.91
能力	n	1220	600.06
来自	v	836	561.8
救助	v	442	336.03
落实	v	842	591.41
希望	v	1463	670.97
学习	v	1431	859.68
2017年	t	1249	687.64
造成	v	1132	669.39
空气质量	n_new	148	243.44
科技	n	1225	612.23
责任	n	1573	580.98
民营经济	n_new	32	45.89
新闻	n	856	441.47
数据	n	1707	767.68
是否	v	905	672.28
成立	vi	970	583.39
支持	v	1034	628.99
司法	n	570	366.58
媒体	n	1054	552.93
科学	n	861	440.92
形成	v	1047	635.85
手机	n	1266	731.36
获得	v	961	653.94
工人	n	423	289.82
合同	n	747	438.51
交通	n	1731	795.26
时代	n	917	457.39
安全	an	3723	713.39
微信	nz	1070	690.09
个人	n	938	622.84
应该	v	918	609.3
坚持	v	922	621.9
小区	n	783	495.34
系统	n	1413	844.52
超高清视频	n_new	9	24.18
加强	v	1304	672.98
出行	vn	553	402.76
协商	v	215	215.32
认定	v	626	436.76
中央	n	526	388.42
负责人	n	1138	539.21
观演	n_new	12	23.74
措施	n	1037	461.95
高校图书馆	n_new	14	23.69
提案	n	148	106.06
员工	n	415	361.24
完善	v	795	522.9
已经	d	2809	699.51
丈夫	n	349	297.66
高山绿茶	n_new	14	23.34
有关	vn	994	549.85
告诉	v	1646	511.54
处理	vn	1421	756.78
调查	v	2050	801.72
觉得	v	890	591.3
对方	n	587	437.12
艺术	n	402	306.83
力量	n	679	404.1
患者	n	1419	812.02
规范	v	841	547.95
关系	n	930	509.77
教师	n	748	526.71
标准	n	1424	670.35
增长	vn	915	516.18
调研	vn	311	261.26
女士	n	1298	359.11
岗位	n	446	316.8
大学	n	2177	997.13
假唱	n_new	13	22.85
民事赔偿	n_new	17	22.69
包括	v	1134	569.49
打造	v	588	429.92
行政罚款	n_new	9	22.65
消费	vn	1013	595.63
孙女士	n_new	17	30.85
校园暴力	n_new	13	22.59
照顾	v	455	388.58
教学	n	579	427.35
承担	v	540	436.72
网友	n	856	511.83
交通运输厅	n_new	14	22.45
联合	vd	917	600.51
志愿者	n	624	422.1
首都	n	190	168.77
收入	n	749	504.97
增加	v	1008	651.82
公安局	n	998	508.54
文明	n	647	292.7
一	m	25264	648.09
恶意抗辩	n_new	12	22.16
深入	v	536	259.94
照片	n	536	328.52
澎湃新闻	n_new	189	235.78
计划	n	1006	618.72
动车组	n_new	65	144.36
介绍	v	2579	423.01
基础设施	n_new	34	62.98
假冒注册商标	n_new	6	21.86
还是	v	437	174.74
工程	n	1283	739.96
中国海洋画	n_new	7	21.66
抗辩事由	n_new	15	21.65
老师	n	1227	731.53
从事	vi	428	407.32
接到	v	630	486.39
观众	n	169	179.19
农村	n	1224	668.69
取得	v	735	479.3
产生	v	645	479.4
协调	v	408	296.99
周边	n	683	467.02
准备	vn	745	560.75
樱花	n	378	263.21
喜欢	vi	586	454.98
旅托	n_new	10	21.36
还有	v	1143	522.24
欠薪问题	n_new	6	21.32
朋友	n	962	534.37
宣传	vn	976	592.06
斑狐猴	n_new	12	21.27
文物	n	614	347.61
制定	v	581	439.15
航空	n	506	286.19
春运	n	287	133.66
表示	v	3408	610.24
作出	v	670	497.05
全国政协委员	n_new	118	141.45
工匠精神	n_new	36	74.21
峨眉高山绿茶	n_new	5	20.88
全国两会	n_new	156	190.35
改造	v	522	374.75
调解	v	262	229.42
质量	n	1510	625.76
享受	v	416	351.15
村民	n	1131	671.57
当事人	n	353	314.51
导致	v	831	494.5
执法	vn	1036	569.69
精准	n_new	417	669.13
最高气温	n_new	139	166.62
性骚扰	nl	44	30.14
草莓大棚	n_new	11	20.53
传统	n	974	558.83
票据债务人	n_new	8	20.51
铁路	n	821	483.38
小户型	n_new	11	20.51
指导	v	682	453.64
隆胸	n_new	10	20.49
找到	v	724	503.16
遇到	v	568	440.21
环卫女工	n_new	10	20.43
监管	vn	1354	649.18
感觉	v	501	367.82
身体	n	691	479.82
欺凌	vn	62	39.8
报告	n	1043	525.43
机制	n	1036	431.95
人们	n	655	455.26
办案民警	n_new		122.99
举办	v	468	392.97
发挥	v	584	415.58
票据	n	74	50.84
主体	n	460	331.34
空中救援	n_new	13	19.95
传播	vn	393	331.34
领域	n	994	589.25
儿子	n	825	516.17
技能	n	555	349.84
打击	v	640	453.62
纠纷	n	466	326.29
女子	n	457	325.17
小提琴	n	26	26.81
气温	n	763	352.6
政协	n	214	145.25
产品	n	1605	849.34
受到	v	641	517.91
行政	n	880	412.81
办理	v	955	674.01
小学	n	744	461.42
维护	v	448	371.9
展示	v	391	331.63
履行	v	338	303.34
内容	n	970	543.7
经营	vn	1036	650.37
生命	n	895	532.22
个人信息	n_new	18	19.58
同事	n	461	324.23
读者	n	143	139.21
开放	vn	734	431.72
涉嫌	v	803	490.19
住房	n	205	169.53
过程	n	1608	464.59
两会	n	475	238.67
暴力	n	376	224.58
大爷	n	169	90.84
启动	v	673	496.9
推出	v	469	403.03
乌鲁木齐航空	n_new	13	19
农民	n	487	395.69
面对	v	588	383.1
吴校长	n_new	13	18.98
数量	n	541	441.1
人数	n	438	369.65
涉及	v	659	472.72
汽车	n	539	362.22
网络议政	n_new	12	18.89
面积	n	718	486.25
位于	v	631	454.32
拥有	v	379	367.24
报名	vi	266	254.22
医疗	n	1768	681.49
奋斗	vi	232	205.59
钱包	n	50	57.42
安排	v	718	544.13
地方	n	1255	641.19
加大	v	596	417.37
起来	vf	1091	473.15
道路	n	747	462.25
走私	vn	237	199.81
程度	n	577	355.46
法律法规	n_new	128	255.11
品牌	n	606	429.79
不足	v	447	241.56
知道	v	904	448.51
破雪	n_new	8	18.7
养虾	n_new	8	18.7
体系	n	901	430.95
监督	vn	1194	582.63
玩手机	n_new	12	18.69
福州市晋安区人民检察院	n_new	10	18.68
食品	n	1599	595.7
弹幕	n_new	7	18.56
养殖	vn	233	206.82
作品	n	443	308.67
赔偿	vn	683	416.02
有偿补课	n_new	13	18.35
了解	v	2174	638.3
中国海洋绘画	n_new	4	18.2
种植	vn	452	373.42
市民	n	941	606.16
水平	n	940	488.87
玩手机游戏	n_new	5	18.12
违规	vn	574	364.96
高铁	n	389	346.68
减少	v	586	445.04
全省	n	503	389.08
事业	n	487	348.23
带来	v	792	446.08
儿童	n	1096	552.96
满足	v	460	394.29
形式	n	601	399.3
南极	ns	70	17.99
违法	vn	1770	653.51
主要	d	1688	319.26
医生	n	1320	728.69
费用	n	651	437.11
惩戒	v	155	119.73
成长	vn	446	323.19
任务	n	747	428.78
防卫行为	n_new	33	32.89
面临	v	404	336.37
保持	v	519	440.44
设备	n	731	506.6
回家	vi	512	374.23
创作	vn	214	208.79
感受	v	447	301.29
电视	n	205	176.42
职业	n	925	434.23
目标	n	695	416.07
动物	n	727	372.4
渠道	n	399	316.53
整治	vn	872	529.21
租客	n_new	10	17.67
拒绝	v	242	239.24
过去	vf	415	238.75
通道	n	410	298.83
叶永青	nr	47	24.79
追究刑事责任	n_new	4	17.45
意见	n	808	325.48
抗辩	vn	50	28.41
区	n	3384	446.87
主任	n	944	485.66
评估	vn	348	280.6
女儿	n	813	489.57
成果	n	513	340.63
设立	v	381	338.8
性别歧视	n_new	29	52.63
风险	n	866	498.77
交警	n	543	366.08
演出	v	126	115.7
行政和解	n_new	6	17.21
创造	v	294	261.97
模式	n	894	450.21
小芳	nr2	84	51.64
养老服务	n_new	8	17.17
艾滋病	n	159	88.71
投资	vn	981	621.97
评价	v	441	358.23
投入	v	599	456.64
负责	v	751	582.85
委员会	n	599	402.44
东西	n	432	294.31
资助	v	177	186.71
护理	v	494	260.52
书店	n	65	66.45
基金	n	442	264.77
竹叶青	nz	26	17.07
拉琴	n_new	7	17.07
经验	n	584	346.24
成本	n	534	388.42
注意	v	671	380.36
结合	v	733	423.18
榜样	n	131	81.57
治疗	v	1156	610.26
诈骗	vn	768	456.72
粉丝	n	209	202.95
微博	n_new	304	362.07
人物	n	165	185.29
功能	n	804	466.75
限制	vn	386	300.26
检察机关	n_new	337	462.19
预计	v	510	281.54
手段	n	511	352.25
证据	n	478	334.42
事件	n	772	477.89
会议	n	609	391.75
同学	n	555	392.57
重大	a	822	275.02
不法侵害	n_new	72	102.05
需求	n	821	433.23
战略机遇	n_new	18	16.57
银行	n	710	473.23
嫌疑人	n	1131	362.06
现场	s	2510	345.99
女孩	n	351	284.09
流失文物	n_new	16	26.67
修音	n_new	8	16.42
制作	v	401	349.68
招生	vi	689	351.41
偶像	n	48	58.76
购物	vi	165	177.44
污染	vn	957	474.23
正当防卫	nl	219	138.47
科研	n	401	292.86
父亲	n	819	468.92
交流	vn	777	487.61
突破	v	324	297.71
人类	n	387	328.21
好人	n	57	62.72
健康	ad	1545	402.88
比赛	v	179	181.29
加快	v	561	361.74
围绕	v	306	279.78
行为属于正当防卫	n_new	15	16.26
领导	n	856	490.75
加入	v	447	357.54
出台	vi	539	388.82
协会	n	424	305.33
手术	vi	723	467.95
骑手	n	72	57.84
申请	v	696	508.92
考试	vn	561	373.01
住宅	n	127	119.93
阅读	v	194	189.11
重要	a	1761	357.34
乘客	n	581	435.5
航班	n	353	271.35
到达	v	271	265.13
约定	v	226	213.96
价值	n	610	422.23
统一	vn	621	318.07
基地	n	472	344.77
表现	vn	326	288.59
引进	v	211	227.8
一线	n	218	199.7
基础	n	1106	411
负刑事责任	n_new	19	16.07
价格	n	834	502.31
双方	n	477	346.49
派出所	n	633	438.5
